worksheet_id,customer_type,business_type_name,question,star_level,content,path_name,t1,t2,t3,worksheet_channel,operator_id,HT (Seconds)
t360287970232203744,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Los bonos los quitan muy facilmente y sin saber por que si dieran la explicación uno podria envitar los errores o ssber cual,Queja_Sobre el Pasajero_Mala actitud / Mal comportamiento,Queja,Sobre el Pasajero,Mala actitud / Mal comportamiento,EMAIL,1215343,276
t360287970232203825,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,El precio es mas accesible,Queja_Sobre el Pago_Desvío (No es problema del mapa),Queja,Sobre el Pago,Desvío (No es problema del mapa),EMAIL,1210103,83
t360287970232203880,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Estoy  a la espera de mis facturas ,Queja_Factura_Solicita Factura,Queja,Factura,Solicita Factura,EMAIL,1283391,234
t360287970232204160,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,No son exactos con las tarifas ni brindan facturas. ,Duda_Factura_Dudas sobre la facturación,Duda,Factura,Dudas sobre la facturación,EMAIL,1233855,215
t360287970232204288,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Les mande un correo solicitando el reembolso por el primee viaje que solicite y que el chofer que fue asignado jamas paso por mi al sitio donde lo indique_ simplemente siguio su camino_ le marque y jamas tomo la llamada_ por lo que fue pesimo mi solicitud del primer viaje y realmente un fracaso la atencion en general_ ya que al momento no tengo respuesta del reembolso o de Didi ...,Queja_App_No puede cancelar el viaje (antes de que Conductor acepte el viaje),Queja,App,No puede cancelar el viaje (antes de que Conductor acepte el viaje),EMAIL,1283551,253
t360287970232204310,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Conductor_Se va por dirección contraria o no mueve para escogerme,Queja,Sobre el Conductor,Se va por dirección contraria o no mueve para escogerme,EMAIL,1204963,82
t360287970232204510,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1233855,61
t360287970232204527,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,,Queja_Sobre el Pago_Desvío (No es problema del mapa),Queja,Sobre el Pago,Desvío (No es problema del mapa),EMAIL,1220511,157
t360287970232204537,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Operación_Safety,Duda,Operación,Safety,EMAIL,1207707,227
t360287970232204542,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,,Queja_Factura_Solicita Factura,Queja,Factura,Solicita Factura,EMAIL,1204963,61
t360287970232204641,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Conductor_Mala Actitud,Queja,Sobre el Conductor,Mala Actitud,EMAIL,1220703,232
t360287970232204775,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1213415,136
t360287970232204876,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Inicia y finaliza el viaje,Queja,Sobre el Pago,Inicia y finaliza el viaje,SELF HELP,-,0
t360287970232205192,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,La atenciòn,Solicitud_Operación_Finalizar el viaje (después de iniciar el viaje),Solicitud,Operación,Finalizar el viaje (después de iniciar el viaje),EMAIL,1220579,245
t360287970232205202,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Los chóferes se hacen tontos para tomar rutas alternas y llegar tarde por otra parte las rutas cada vez son ma si precisas y termino pagando mas y nunca me marcaron para el tema de mis llaves ,Reporte_Objetos Perdidos _Queja sobre objetos valiosos perdidos / encontrados,Reporte,Objetos Perdidos ,Queja sobre objetos valiosos perdidos / encontrados,EMAIL,1213391,226
t360287970232205293,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Descuento. Promoción rapidezSolonque no me han facturado ni le han dicho en que correo. He escrito muchas veces y no dicen donde facturar.,Duda_Factura_Dudas sobre la facturación,Duda,Factura,Dudas sobre la facturación,EMAIL,1283419,145
